team,dynamic_elo,form_10,attack_20,defense_20,conf_strength,is_2026_host
German DR,1696.927825041255,2.312202193165161,1.805945528347654,1.2627979620000465,0.85,0
Tahiti,1526.411391164434,1.5017266749021412,1.6574703396799808,1.3251298383381653,0.85,0
Gambia,1507.1311538244895,1.0851572576477115,2.1094206472313575,1.7276103598101842,0.85,0
Hong Kong,1370.112914965761,1.6305345003272889,2.0944490517640815,0.8072017741099502,0.85,0
Singapore,1354.6206499510902,1.5902951451984042,1.6890696045507747,1.3611514521222619,0.85,0
Malaysia,1530.39807648105,2.637871374065422,1.9490312992277203,0.7993881970443194,0.85,0
Guinea-Bissau,1370.5482887649198,0.5693571571433894,0.6025170591494813,1.5631059186854626,0.85,0
Saarland,1464.249506332175,0.3747459299121952,1.1368290652361774,2.9099974076331097,0.85,0
Burundi,1385.3269559888804,0.42164124884911425,0.6116995964301322,1.7019874477181194,0.85,0
Cameroon,1723.2637953857409,1.6695138768196696,1.1903037011823403,0.6959675263929289,0.88,0
Kernow,1588.6676393654964,2.4945493215798433,2.7008517357060855,1.2648975265317681,0.85,0
Cambodia,1109.6211181711244,1.032316693613291,1.5624981094117456,1.5705249461002233,0.85,0
Thailand,1549.9556511077417,2.194259340116848,2.5905753923476293,1.0830636729153231,0.85,0
Vietnam Republic,1381.8542048145946,0.3784993252102845,1.0985093296899224,2.058587487817768,0.85,0
Kyrgyzstan,1452.364576039505,0.7542206035865143,1.1407806925304258,1.6921938546599165,0.85,0
Moldova,1348.8598656148438,0.28676372630237706,0.9139553019046229,2.725810326594044,0.85,0
North Vietnam,1479.5498366231152,1.4712657807652507,2.3036786279917543,1.7021423231363153,0.85,0
Togo,1473.241284259297,1.3577940208637493,0.8724581119466431,1.1445093469786032,0.85,0
North Korea,1475.222281987302,0.34281665366863734,1.0378590725279588,1.8925586764052298,0.85,0
Sudan,1445.6915734409151,0.6398131031726548,0.4461598508843793,1.5327612679057343,0.85,0
Malta,1370.5888463608449,1.2498619760795837,1.0209508347522804,1.8718728447610447,0.85,0
Tunisia,1698.8642737287057,0.9737288846174547,1.2549620594765734,1.3255417624028172,0.88,0
Libya,1503.2040573681556,1.4174601958627282,1.0374774897715169,0.8352880720684724,0.85,0
Malawi,1418.107463343108,0.98623450090906,0.7949686599668144,0.9712521170646377,0.85,0
Morocco,1982.511590237949,2.266036854085662,2.1934513150475303,0.3922537457797379,0.88,0
Benin,1527.7162281562885,1.4814679907391906,0.8754702250293412,1.2244504712828235,0.85,0
Cape Verde,1612.5264376897087,1.2988285003814322,1.4356125742916535,1.172845970151379,0.88,0
Ivory Coast,1784.5533665311366,2.4245939296691854,2.0017256336993627,0.6343252725797877,0.88,0
Burkina Faso,1623.7343395898658,1.4512692230908688,1.775333977560841,1.0864241539687651,0.85,0
Gabon,1513.770272047322,0.7004458047851431,1.7442693081847502,1.9068469066893643,0.85,0
Congo,1332.176038480978,0.34462667753517545,0.7637039495587844,2.081335051657717,0.85,0
Mali,1680.7910043416248,0.9071844914014172,1.0554838946563772,0.7513016020820998,0.88,0
Central African Republic,1343.8277540389927,1.019070498326448,1.053555463319259,2.08394751157758,0.85,0
Iraq,1740.6750624781766,1.7990055243435539,1.0818985522463442,0.8714334788328073,0.84,0
Saint Vincent and the Grenadines,1368.5107073256115,1.8658411503291128,2.2657661423554054,1.3065213506929303,0.85,0
Senegal,1887.9833697750487,1.9412647486423147,2.2286085048865965,0.954080276904023,0.88,0
Laos,1006.7849702518787,0.43918305475895897,0.9215393857454043,2.631169362299833,0.85,0
Chad,1257.248270529777,0.33846058067880375,0.7903206508189452,1.9034775834948865,0.85,0
Niger,1445.4228639523528,0.8523868948829317,1.1672875819160018,1.1867686451418606,0.85,0
Mauritania,1458.3410639986425,1.0756684639846308,0.6207742048132501,1.147920672857982,0.85,0
Liberia,1391.8813617644541,0.6873254378648073,0.9029819736512226,1.5066933210137694,0.85,0
Guinea,1536.472217451669,0.9833984696123838,1.1868942939042941,0.8999086744592909,0.85,0
Algeria,1850.7472409128468,2.2269087929672504,2.0126285459887416,0.4697663401760372,0.88,0
Kuwait,1489.852686473194,0.9161644685185332,1.3488890754584515,1.968044853038879,0.85,0
Jordan,1748.7578088686607,1.062404349238972,1.4981096174287072,1.7462699134066717,0.84,0
Papua New Guinea,1488.0868098363278,2.006673383525552,1.5736227207181035,1.4941400932865092,0.85,0
Solomon Islands,1390.554544474553,0.3445186046999968,1.516823678026501,2.838364362916078,0.85,0
Somalia,1056.6987230061463,0.7762567397319499,0.4447477182614953,1.740308226255701,0.85,0
Saudi Arabia,1690.2356813654787,1.142359155582535,1.1973117994778433,1.3478287604739734,0.84,0
Bermuda,1356.5849622964945,1.0003875932623487,1.4827088226750684,2.652531521577843,0.85,0
Palestine,1544.5625454179078,0.9712233602042628,0.702624656064685,1.097533065858523,0.85,0
Bahrain,1560.0528911476188,0.8398380385586507,0.9626485757783737,1.6815813598521083,0.85,0
Yemen,1299.5059983408087,1.956008950159167,2.655150759020953,1.2184944379522364,0.85,0
Oman,1598.6600435065618,1.0160505172141308,0.7142237236809713,1.1310347427731087,0.85,0
Wallis Islands and Futuna,1311.1922387294073,0.28259343084101235,0.913071267057702,5.4977615071167865,0.85,0
Corsica,1561.7699225174658,1.7234295335583603,1.0896853172316352,0.5805926691770135,0.85,0
Western Australia,1399.1853154914927,1.197958696638052,1.4509674476378176,1.934149190964338,0.85,0
Eswatini,1284.2955435277513,0.429310347678807,0.6991788346772219,2.114254136501678,0.85,0
Botswana,1408.9813580279838,0.8100062040254082,0.6266901895188034,1.6899487579681762,0.85,0
Qatar,1616.6275072374146,0.6004728811949596,0.8041138405133209,1.5274067923743113,0.84,0
Lesotho,1371.8291851051981,0.8740023657829019,0.6369297925999656,1.4409205363797066,0.85,0
Bahamas,995.866318548774,0.1897440009347842,0.9473688917034905,3.8147639364349746,0.85,0
Brunei,975.3375462605601,0.5008175636600966,0.5676327598533955,2.868142452009864,0.85,0
Cook Islands,1210.1659192577467,0.7043468447729803,0.7047600661142419,2.702985259808655,0.85,0
Yemen DPR,1370.416774965136,0.8094713489220469,0.9169675295482179,2.6036867528854555,0.85,0
United Arab Emirates,1657.753081201131,1.0023533333624843,1.2759819522114573,1.3521058081174968,0.85,0
Faroe Islands,1409.5188984547235,1.7668654811272715,1.1241208147929556,1.0263849713509534,0.85,0
Nepal,1115.2177844269388,0.559917818833967,0.597964630767879,1.652885664666771,0.85,0
Antigua and Barbuda,1148.2973076115115,0.2658374113477586,0.5072538449156334,2.330038825743053,0.85,0
Bangladesh,1167.8331471461865,1.4845279134241711,1.0300377094079634,1.5460779212738671,0.85,0
Seychelles,1021.7381586204629,0.0,0.2241000669152257,4.376831523986853,0.85,0
Equatorial Guinea,1456.060045158893,0.8916628792956076,0.8393503373228434,1.4261197176551348,0.85,0
Mozambique,1499.6461831376084,0.8321831249169802,1.0982348195415725,1.8186832896323377,0.85,0
Guam,1021.0187262323257,0.7046446463435817,1.1814799049590543,3.17860232388576,0.85,0
Angola,1571.1966410812267,1.0462176823477498,1.0432487854744108,1.0358028345925996,0.85,0
São Tomé and Príncipe,1170.167520548568,0.7059024887806572,0.5700910345957719,2.6490648064165314,0.85,0
Rwanda,1471.1098696634288,1.4687612850184293,0.9721100271127825,1.0325739873643,0.85,0
Northern Cyprus,1680.6382262468287,1.9854286467392472,2.708805987002966,0.8194859605966032,0.85,0
Armenia,1436.1550801516514,0.4413949282393508,0.8981127269396697,2.700328188957987,0.85,0
Georgia,1695.3555447271879,1.4641735858821785,1.5367292949502238,1.3736139736723805,0.85,0
Azerbaijan,1409.6739035149396,0.6449163149636503,1.0022642442729095,2.1287842544059616,0.85,0
Kazakhstan,1489.721032405021,1.506888240875497,0.9788791106719359,1.3576604189444423,0.85,0
Comoros,1459.8674116666602,0.5735058041282948,0.814671198533617,1.2934361106890926,0.85,0
Maldives,1034.1511366555537,0.2665506857198342,0.5661550981789825,1.8733213018068038,0.85,0
Tonga,1144.952485756725,0.797512234043276,1.183381594346124,3.731918849372388,0.85,0
Tuvalu,1259.3269325047238,1.2069847301856145,1.3018221654020574,4.979091009780302,0.85,0
Kiribati,1295.996970667644,0.042325804515374585,0.6056698031320191,11.64608532637716,0.85,0
Samoa,1291.5410128685642,0.858691553670806,1.295006705484354,3.3414924031332864,0.85,0
Greenland,1458.8231414862646,1.0858185918677519,1.7478755040433782,2.163923587033926,0.85,0
Liechtenstein,1019.8540598195765,0.34516039586715763,0.3156703536937298,2.8295408618297646,0.85,0
Bhutan,880.2206641353326,0.21823324365285235,0.42126885408238623,2.7698281315730577,0.85,0
South Yemen,1472.1786623076043,0.0,0.3322249935333472,2.6328345988890747,0.85,0
Niue,1456.7567310072204,0.0,0.0,16.6248959373947,0.85,0
American Samoa,1008.3914088344527,0.03465343780550408,0.6986864423813085,5.584426093554287,0.85,0
Belize,1305.9757864850308,0.9130263733188468,1.6217871144746367,2.166391419919411,0.85,0
Cayman Islands,1100.9403584523986,0.8192267556498674,1.0214963461675675,2.160209708688701,0.85,0
Anguilla,950.912994859534,0.8600791990694212,0.7209833628803128,2.902124778253979,0.85,0
British Virgin Islands,1053.611394415536,1.7141713723625027,1.4512247446516755,1.5543045295358688,0.85,0
Palau,1454.403564562993,0.0,2.0,10.724812687310461,0.85,0
Sint Maarten,1313.8210260901078,1.802837517551183,1.3434136886547021,2.0847934392537284,0.85,0
Namibia,1389.4698586040831,0.545355241655863,0.47719969792852174,1.5044254735653773,0.85,0
Shetland,1488.158655771862,1.171287980062878,2.060422005422443,1.9252531838343,0.85,0
Ynys Môn,1661.614960375915,2.5784201404801976,2.1273119159082254,1.2557415214746974,0.85,0
Åland Islands,1485.9777035544935,0.8807677848569979,0.9885196390850508,1.6345685280301423,0.85,0
Saint Martin,1285.720750584653,1.8054079006460402,1.9644155886435273,1.5520997676135388,0.85,0
San Marino,974.0993927170844,0.1716396010674212,0.5247599303233534,3.0598790125249358,0.85,0
Montserrat,1244.9891743493015,0.7462867356496163,0.7931112388915935,1.9276314945092894,0.85,0
Slovenia,1732.0387278915073,0.8369102435730641,0.9389422747509151,1.2692062070279666,0.85,0
Isle of Wight,1655.6016802933768,1.9850896139463554,1.9718792998590162,1.2228287951153756,0.85,0
Turkmenistan,1390.1936324104684,2.0038090836486098,1.4116662872614905,1.3957160224767082,0.85,0
Tajikistan,1438.2842763777203,2.6565138163100452,2.0503712753528642,0.9858160035541448,0.85,0
Uzbekistan,1804.601444982412,1.0773732386698995,1.186727658559806,0.940992864333719,0.84,0
Eritrea,1223.5888868435425,0.03465343780550408,0.6252691047022563,2.173297377914295,0.85,0
Isle of Man,1681.1217018169748,2.1405625920977394,3.7213657104774436,1.3117892699246105,0.85,0
Gibraltar,1185.4930536578493,1.5654219091818447,1.4884189022418628,1.987784399446603,0.85,0
North Macedonia,1619.998006503876,0.6311058135025956,0.8357329676937048,1.5189102797077938,0.85,0
Czech Republic,1785.8285348213897,2.1113664703877073,2.295560905435132,1.1071955494014287,1.0,0
Bosnia and Herzegovina,1642.4833246956168,1.307511720441013,1.478146793157237,1.1709540957250117,0.85,0
Canary Islands,1516.451412612839,2.191473507566495,2.5918050414308778,0.7362034046761355,0.85,0
Andorra,1153.7693449996325,0.7069515108121949,0.39293560083897594,1.574317752621497,0.85,0
Hitra,1354.7021113640383,1.5119443591553094,2.2308304160036503,3.117092806828457,0.85,0
Frøya,1215.3674841205548,0.3172468686465164,0.9741686662459499,4.697607248549026,0.85,0
United States Virgin Islands,1020.9243239160394,1.1802282247084241,1.4907957744120444,2.056795677130862,0.85,0
Northern Mariana Islands,1045.0403867730597,1.2088659239179296,1.0373579954776841,4.035949497472858,0.85,0
Turks and Caicos Islands,1081.2834257541258,1.2952162160998604,1.1128854631638814,2.04104194285839,0.85,0
Micronesia,1374.9248370762677,0.32432649875650255,1.001648803019278,9.024015691354172,0.85,0
Gotland,1449.448847294365,0.8707005688034724,2.685967092652689,2.061110474618829,0.85,0
Saare County,1339.781594793049,1.3276432116246584,1.6282698213805078,2.264329630401318,0.85,0
Rhodes,1590.596024550359,1.8990552811284924,1.6407378943581141,1.0453410713686107,0.85,0
Monaco,1450.1317375805777,1.2938017605989016,1.5055392271049755,3.813530991634893,0.85,0
Western Sahara,1421.2600842108757,0.6941337520281532,1.7641365405830756,4.711288235170115,0.85,0
Tibet,1283.0053856162326,0.17132045442945498,1.811359146591335,5.360256078897523,0.85,0
Orkney,1415.7931287094782,1.8171515283637871,1.820111351408903,1.9228961652609593,0.85,0
Falkland Islands,1241.803331732054,0.20964108215325952,0.9447961908079653,3.328761481418885,0.85,0
Mayotte,1434.0283304561592,1.505819742114848,1.1419350755032909,0.7890683344099154,0.85,0
Vatican City,1439.9682774626865,0.5100552872011156,0.6194367709529186,2.3374150794943627,0.85,0
Timor-Leste,933.4262309779125,0.34516039586715763,0.667762919685381,2.9131676781503533,0.85,0
Sark,1389.7066009917169,0.0,0.0,17.2981743852267,0.85,0
Sealand,1477.0318521824345,1.9207690611327866,2.5234286049965617,2.3607311388355603,0.85,0
Occitania,1655.2762842775262,2.3345945414437916,3.2487359008754777,0.730878071786547,0.85,0
Chechnya,1466.2632550673416,0.3289329222889067,1.03161538817762,9.646134676488906,0.85,0
Ambazonia,1411.8314706225785,0.0954274140197332,0.4667687512551698,2.8720733329225765,0.85,0
Western Isles,1437.3788498919325,1.1658093791109363,1.2086288953732234,2.1096588885544647,0.85,0
Kosovo,1729.4552877481203,1.6677516945478932,1.8338094410803374,1.0735062725849431,0.85,0
Republic of St. Pauli,1486.2852618821325,0.8426226759099367,2.417966693929226,1.3135062149909402,0.85,0
Crimea,1503.1826640122958,1.7531550768353446,1.4735730510873464,2.171860555120381,0.85,0
Găgăuzia,1439.8476157475752,0.4017595785333554,0.6993903946442727,2.9617345730224636,0.85,0
Sápmi,1471.9082452743664,0.8594374079022604,1.5134327704990098,2.224202280712664,0.85,0
Romani people,1462.5082843636635,0.7012408345215078,1.7241268332391957,3.5369948016560953,0.85,0
Menorca,1543.9630348261228,0.8943456629260546,1.8401910401650259,1.3483427672689283,0.85,0
Iraqi Kurdistan,1629.0963413484399,1.468500722364025,2.1505318267249214,0.8517208282404365,0.85,0
Padania,1663.4704029748316,1.401189788124244,2.1480027949541696,0.8890277247724122,0.85,0
Arameans Suryoye,1542.6208043454944,1.6798382743469453,1.6453272607279223,1.309436930987609,0.85,0
Gozo,1476.4520075053783,1.1461970419569625,2.0722712912885126,1.6932559819118072,0.85,0
Two Sicilies,1423.9113911724608,0.3496659200633837,0.46015166061077095,3.218512916888864,0.85,0
Saint Barthélemy,1432.9276152727557,1.3960707327111153,2.6858072194254645,2.7775754445396514,0.85,0
Saint Pierre and Miquelon,1335.826151516147,0.0,0.36007937052141403,11.485149217450466,0.85,0
Bonaire,1164.1146634804145,0.5485572730659262,0.9434987688435299,2.139018808082894,0.85,0
Chagos Islands,1369.5861214230079,0.24112489594714337,1.5388304786219733,5.293050344763195,0.85,0
Raetia,1404.585843441667,1.5048906198299756,2.5376545864588462,3.0761063125477497,0.85,0
Cilento,1489.2973468755417,0.0,0.0,2.0,0.85,0
Kurdistan,1558.9509529469358,2.6852414603911456,2.314311895939954,0.34129104156122764,0.85,0
Darfur,1340.9008621337837,0.0,0.12671339713247998,13.93779681387895,0.85,0
Tamil Eelam,1563.7966096870255,2.740949123454208,2.889845666567491,1.4454437973995216,0.85,0
South Sudan,1262.525349787893,0.49079312405171505,0.47271897535442414,1.8409049356291225,0.85,0
Abkhazia,1624.2921063672238,1.7677734714315092,1.5478859547972619,0.7160157363344406,0.85,0
Artsakh,1562.375423053312,2.0917183877775702,2.7794119580251433,1.2619034820844108,0.85,0
